time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
11200,1,1,1,0,2.0,-2046.0,1.0,1.0,0,0,0,1,0,0,1
11201,1,1,0,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11202,1,1,1,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11203,1,1,0,0,-2.0,2046.0,1.0,1.0,1,0,0,1,0,0,1
11204,1,1,1,0,-2.0,2046.0,1.0,1.0,1,0,0,1,0,0,1
11205,1,1,0,0,-2046.0,-2.0,1.0,1.0,1,0,0,1,0,0,1
11206,1,1,1,0,-2046.0,-2.0,1.0,1.0,1,0,0,1,0,0,1
11207,1,1,0,0,2.0,-2046.0,1.0,1.0,1,0,0,1,0,0,1
11208,1,1,1,0,2.0,-2046.0,1.0,1.0,1,0,0,1,0,0,1
11209,1,1,0,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11210,1,1,1,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11211,1,1,0,0,-2.0,2046.0,1.0,1.0,1,0,0,1,0,0,1
11212,1,1,1,0,-2.0,2046.0,1.0,1.0,1,0,0,1,0,0,1
11213,1,1,0,0,-2046.0,-2.0,1.0,1.0,1,0,0,1,0,0,1
11214,1,1,1,0,-2046.0,-2.0,1.0,1.0,1,0,0,1,0,0,1
11215,1,1,0,0,2.0,-2046.0,1.0,1.0,1,0,0,1,0,0,1
11216,0,1,1,0,2.0,-2046.0,1.0,1.0,1,0,0,1,0,0,1
11217,0,1,0,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11218,0,1,1,0,2046.0,2.0,1.0,1.0,1,0,0,1,0,0,1
11219,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11220,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11221,0,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11222,0,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11223,0,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11224,0,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11225,0,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11226,0,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,1,0
11227,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11228,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,1,0
11229,0,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11230,0,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,1,0
11231,0,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11232,1,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,1,0
11233,1,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11234,1,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11235,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11236,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11237,1,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11238,1,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11239,1,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11240,1,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11241,1,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11242,1,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11243,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11244,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11245,1,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11246,1,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11247,1,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11248,0,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11249,0,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11250,0,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11251,0,1,0,0,-2.0,2046.0,1.0,1.0,1,1,0,1,0,0,1
11252,0,1,1,0,-2.0,2046.0,1.0,1.0,1,1,0,1,0,0,1
11253,0,1,0,0,-2046.0,-2.0,1.0,1.0,1,1,0,1,0,0,1
11254,0,1,1,0,-2046.0,-2.0,1.0,1.0,1,1,0,1,0,0,1
11255,0,1,0,0,2.0,-2046.0,1.0,1.0,1,1,0,1,0,0,1
11256,0,1,1,0,2.0,-2046.0,1.0,1.0,1,1,0,1,0,0,1
11257,0,1,0,0,2046.0,2.0,1.0,1.0,1,1,0,1,0,0,1
11258,0,1,1,0,2046.0,2.0,1.0,1.0,1,1,0,1,0,0,1
11259,0,1,0,0,-2.0,2046.0,1.0,1.0,1,1,0,1,0,0,1
11260,0,1,1,0,-2.0,2046.0,1.0,1.0,1,1,0,1,0,0,1
11261,0,1,0,0,-2046.0,-2.0,1.0,1.0,1,1,0,1,0,0,1
11262,0,1,1,0,-2046.0,-2.0,1.0,1.0,1,1,0,1,0,0,1
11263,0,1,0,0,2.0,-2046.0,1.0,1.0,1,1,0,1,0,0,1
11264,1,1,1,0,2.0,-2046.0,1.0,1.0,1,1,0,1,0,0,1
11265,1,1,0,0,2046.0,2.0,1.0,1.0,0,1,0,1,0,0,1
11266,1,1,1,0,2046.0,2.0,1.0,1.0,0,1,0,1,0,0,1
11267,1,1,0,0,-2.0,2046.0,1.0,1.0,0,1,0,1,0,0,1
11268,1,1,1,0,-2.0,2046.0,1.0,1.0,0,1,0,1,0,0,1
11269,1,1,0,0,-2046.0,-2.0,1.0,1.0,0,1,0,1,0,0,1
11270,1,1,1,0,-2046.0,-2.0,1.0,1.0,0,1,0,1,0,0,1
11271,1,1,0,0,2.0,-2046.0,1.0,1.0,0,1,0,1,0,0,1
11272,1,1,1,0,2.0,-2046.0,1.0,1.0,0,1,0,1,0,0,1
11273,1,1,0,0,2046.0,2.0,1.0,1.0,0,1,0,1,0,0,1
11274,1,1,1,0,2046.0,2.0,1.0,1.0,0,1,0,1,0,0,1
11275,1,1,0,0,-2.0,2046.0,1.0,1.0,0,1,0,1,0,0,1
11276,1,1,1,0,-2.0,2046.0,1.0,1.0,0,1,0,1,0,0,1
11277,1,1,0,0,-2046.0,-2.0,1.0,1.0,0,1,0,1,0,0,1
